classification,component_id,nodes,previous_measure,low_order_measure,raw_target_measure,limited_measure,physical_boundary_transfer,discrete_divergence_source,low_order_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,low_order_balance_residual,raw_target_balance_residual,limited_balance_residual
resolved,79,27777,0.014160156717278008,0.01416015664130521,0.014160156769307809,0.014160156715043629,-6.5495511314303257e-20,8.3890900231421105e-12,-8.4361846596639133e-11,1.2800241463132865e-10,7.3738341323850529e-11,-4.0858499658188849e-17,1.426144759433705e-16,3.5966932648614128e-17
subthreshold,-1,8160,1.4668392625400169e-10,2.3105104704384785e-10,1.030486324657397e-10,1.5731270573272212e-10,5.2674189566269785e-29,5.2741077502385985e-15,8.4361846682095368e-11,-1.2800241457810809e-10,-7.373834131112526e-11,5.5576197405906547e-25,4.9113848870336018e-25,9.0472879497987402e-26
