case,category,topology,order,mode,operation,iterations,seconds,ns_per_call,min_ns_per_call,max_ns_per_call,allocations_per_call,model_lower_bound_ns,measured_to_model_bound,modeled_flops_per_call,estimated_bytes_per_call
lagrange_hex_order3_strided_values,lagrange_strided_batch,hex,3,strided,values,125,0.000111116,888.928,888.104,889.472,0.0,0,0,704,2560
lagrange_hex_order3_strided_gradients,lagrange_strided_batch,hex,3,strided,gradients,125,0.000152578,1220.624,1203.0,1277.624,0.0,0,0,1920,7680
lagrange_hex_order3_strided_hessians,lagrange_strided_batch,hex,3,strided,hessians,125,0.000239674,1917.392,1849.544,1929.392,0.0,0,0,5184,23040
lagrange_hex_order3_strided_all,lagrange_strided_batch,hex,3,strided,all,125,0.000285797,2286.376,2286.296,2305.76,0.0,0,0,7232,33280
lagrange_hex_order4_construction,lagrange_construction,hex,4,construction,construction,20,0.000130311,6515.55,6399.25,7103.9,10.0,0,0,0,0
lagrange_hex_order4_point_values,lagrange_scalar_point,hex,4,point,values,333,0.000104131,312.705705706,312.510510511,319.3003003,0.0,0,0,310,1000
lagrange_hex_order4_point_gradients,lagrange_scalar_point,hex,4,point,gradients,333,0.000133223,400.069069069,400.009009009,400.255255255,0.0,0,0,870,3000
lagrange_hex_order4_point_hessians,lagrange_scalar_point,hex,4,point,hessians,333,0.000232579,698.435435435,695.36036036,705.738738739,0.0,0,0,2430,9000
lagrange_hex_order4_point_all,lagrange_scalar_point,hex,4,point,all,333,0.000294214,883.525525526,877.411411411,944.456456456,0.0,0,0,3430,13000
lagrange_hex_order4_strided_values,lagrange_strided_batch,hex,4,strided,values,66,0.000106412,1612.3030303,1611.36363636,2167.84848485,0.0,0,0,1240,5000
lagrange_hex_order4_strided_gradients,lagrange_strided_batch,hex,4,strided,gradients,66,0.000153001,2318.1969697,2316.65151515,2363.39393939,0.0,0,0,3480,15000
lagrange_hex_order4_strided_hessians,lagrange_strided_batch,hex,4,strided,hessians,66,0.000235045,3561.28787879,3560.96969697,3604.63636364,0.0,0,0,9720,45000
lagrange_hex_order4_strided_all,lagrange_strided_batch,hex,4,strided,all,66,0.000289777,4390.56060606,4382.45454545,4429.33333333,0.0,0,0,13720,65000
lagrange_hex_order5_construction,lagrange_construction,hex,5,construction,construction,20,0.000236287,11814.35,11674.35,11913.15,41.0,0,0,0,0
lagrange_hex_order5_point_values,lagrange_scalar_point,hex,5,point,values,185,0.000134045,724.567567568,717.27027027,724.675675676,0.0,0,0,504,1728
lagrange_hex_order5_point_gradients,lagrange_scalar_point,hex,5,point,gradients,185,0.00019252,1040.64864865,976.340540541,1124.07027027,0.0,0,0,1440,5184
lagrange_hex_order5_point_hessians,lagrange_scalar_point,hex,5,point,hessians,185,0.000298526,1613.65405405,1583.94054054,1760.65945946,0.0,0,0,4104,15552
lagrange_hex_order5_point_all,lagrange_scalar_point,hex,5,point,all,185,0.000359817,1944.95675676,1936.71351351,1958.73513514,0.0,0,0,5832,22464
lagrange_hex_order5_strided_values,lagrange_strided_batch,hex,5,strided,values,37,0.000135927,3673.7027027,3672.37837838,3763.62162162,0.0,0,0,2016,8640
lagrange_hex_order5_strided_gradients,lagrange_strided_batch,hex,5,strided,gradients,37,0.000189894,5132.27027027,5131.37837838,5259.2972973,0.0,0,0,5760,25920
lagrange_hex_order5_strided_hessians,lagrange_strided_batch,hex,5,strided,hessians,37,0.000287837,7779.37837838,7719.94594595,8530.24324324,0.0,0,0,16416,77760
lagrange_hex_order5_strided_all,lagrange_strided_batch,hex,5,strided,all,37,0.000338411,9146.24324324,9144.91891892,9308.97297297,0.0,0,0,23328,112320
lagrange_hex_order6_construction,lagrange_construction,hex,6,construction,construction,20,0.000356585,17829.25,17702.75,18022.7,53.0,0,0,0,0
lagrange_hex_order6_point_values,lagrange_scalar_point,hex,6,point,values,119,0.000124763,1048.42857143,1048.24369748,1080.24369748,0.0,0,0,770,2744
lagrange_hex_order6_point_gradients,lagrange_scalar_point,hex,6,point,gradients,119,0.000159059,1336.6302521,1309.62184874,1420.53781513,0.0,0,0,2226,8232
lagrange_hex_order6_point_hessians,lagrange_scalar_point,hex,6,point,hessians,119,0.000277091,2328.49579832,2285.78991597,2395.68067227,0.0,0,0,6426,24696
lagrange_hex_order6_point_all,lagrange_scalar_point,hex,6,point,all,119,0.000343655,2887.85714286,2807.40336134,2912.90756303,0.0,0,0,9170,35672
lagrange_hex_order6_strided_values,lagrange_strided_batch,hex,6,strided,values,23,0.000121323,5274.91304348,5273.13043478,5280.08695652,0.0,0,0,3080,13720
lagrange_hex_order6_strided_gradients,lagrange_strided_batch,hex,6,strided,gradients,23,0.00017123,7444.7826087,7437.69565217,7522.69565217,0.0,0,0,8904,41160
lagrange_hex_order6_strided_hessians,lagrange_strided_batch,hex,6,strided,hessians,23,0.000272667,11855.0869565,11686.7826087,12405.3478261,0.0,0,0,25704,123480
lagrange_hex_order6_strided_all,lagrange_strided_batch,hex,6,strided,all,23,0.000332798,14469.4782609,14445.6521739,14596.9130435,0.0,0,0,36680,178360
lagrange_hex_order7_construction,lagrange_construction,hex,7,construction,construction,20,0.000539121,26956.05,25997.55,26991.9,67.0,0,0,0,0
lagrange_hex_order7_point_values,lagrange_scalar_point,hex,7,point,values,78,0.000102881,1318.98717949,1314.85897436,1321.96153846,0.0,0,0,1120,4096
lagrange_hex_order7_point_gradients,lagrange_scalar_point,hex,7,point,gradients,78,0.000136901,1755.14102564,1740.6025641,1817.32051282,0.0,0,0,3264,12288
lagrange_hex_order7_point_hessians,lagrange_scalar_point,hex,7,point,hessians,78,0.000244002,3128.23076923,3061.25641026,3415.07692308,0.0,0,0,9504,36864
lagrange_hex_order7_point_all,lagrange_scalar_point,hex,7,point,all,78,0.000303391,3889.62820513,3886.76923077,4125.03846154,0.0,0,0,13600,53248
lagrange_hex_order7_strided_values,lagrange_strided_batch,hex,7,strided,values,15,0.000115628,7708.53333333,7556.4,8544.4,0.0,0,0,4480,20480
lagrange_hex_order7_strided_gradients,lagrange_strided_batch,hex,7,strided,gradients,15,0.000159557,10637.1333333,10627.9333333,10671.4666667,0.0,0,0,13056,61440
lagrange_hex_order7_strided_hessians,lagrange_strided_batch,hex,7,strided,hessians,15,0.00025002,16668.0,16664.4,16877.3333333,0.0,0,0,38016,184320
lagrange_hex_order7_strided_all,lagrange_strided_batch,hex,7,strided,all,15,0.000307091,20472.7333333,20309.7333333,21532.4,0.0,0,0,54400,266240
lagrange_hex_order8_construction,lagrange_construction,hex,8,construction,construction,20,0.000738475,36923.75,36403.55,37595.9,84.0,0,0,0,0
lagrange_hex_order8_point_values,lagrange_scalar_point,hex,8,point,values,54,9.0786e-05,1681.22222222,1680.90740741,1681.37037037,0.0,0,0,1566,5832
lagrange_hex_order8_point_gradients,lagrange_scalar_point,hex,8,point,gradients,54,0.000113595,2103.61111111,2103.0,2104.2037037,0.0,0,0,4590,17496
lagrange_hex_order8_point_hessians,lagrange_scalar_point,hex,8,point,hessians,54,0.000216956,4017.7037037,4015.64814815,4355.2962963,0.0,0,0,13446,52488
lagrange_hex_order8_point_all,lagrange_scalar_point,hex,8,point,all,54,0.000286688,5309.03703704,5309.01851852,5355.14814815,0.0,0,0,19278,75816
lagrange_hex_order8_strided_values,lagrange_strided_batch,hex,8,strided,values,10,0.000100564,10056.4,10054.1,10062.0,0.0,0,0,6264,29160
lagrange_hex_order8_strided_gradients,lagrange_strided_batch,hex,8,strided,gradients,10,0.000141143,14114.3,14113.8,14124.3,0.0,0,0,18360,87480
lagrange_hex_order8_strided_hessians,lagrange_strided_batch,hex,8,strided,hessians,10,0.000220932,22093.2,22088.5,24833.4,0.0,0,0,53784,262440
lagrange_hex_order8_strided_all,lagrange_strided_batch,hex,8,strided,all,10,0.000281498,28149.8,28017.6,28840.4,0.0,0,0,77112,379080
lagrange_wedge_order1_construction,lagrange_construction,wedge,1,construction,construction,20,1.8826e-05,941.3,886.7,1523.1,13.0,0,0,0,0
lagrange_wedge_order1_point_values,lagrange_scalar_point,wedge,1,point,values,5000,0.000240443,48.0886,48.0402,49.4704,0.0,0,0,38,48
lagrange_wedge_order1_point_gradients,lagrange_scalar_point,wedge,1,point,gradients,5000,0.000292849,58.5698,56.017,61.545,0.0,0,0,90,144
lagrange_wedge_order1_point_hessians,lagrange_scalar_point,wedge,1,point,hessians,5000,0.000413347,82.6694,74.5108,102.6444,0.0,0,0,218,432
lagrange_wedge_order1_point_all,lagrange_scalar_point,wedge,1,point,all,5000,0.00042818,85.636,85.159,86.705,0.0,0,0,290,624
lagrange_wedge_order1_strided_values,lagrange_strided_batch,wedge,1,strided,values,1000,0.000197717,197.717,197.668,200.432,0.0,0,0,152,240
lagrange_wedge_order1_strided_gradients,lagrange_strided_batch,wedge,1,strided,gradients,1000,0.00023107,231.07,230.919,234.961,0.0,0,0,360,720
lagrange_wedge_order1_strided_hessians,lagrange_strided_batch,wedge,1,strided,hessians,1000,0.000413989,413.989,410.083,441.353,0.0,0,0,872,2160
lagrange_wedge_order1_strided_all,lagrange_strided_batch,wedge,1,strided,all,1000,0.000413862,413.862,410.113,415.486,0.0,0,0,1160,3120
lagrange_wedge_order2_construction,lagrange_construction,wedge,2,construction,construction,20,4.1191e-05,2059.55,2051.25,2471.45,18.0,0,0,0,0
lagrange_wedge_order2_point_values,lagrange_scalar_point,wedge,2,point,values,2500,0.0001879,75.16,75.1544,78.7668,0.0,0,0,99,144
lagrange_wedge_order2_point_gradients,lagrange_scalar_point,wedge,2,point,gradients,2500,0.000225063,90.0252,90.0012,91.9808,0.0,0,0,243,432
lagrange_wedge_order2_point_hessians,lagrange_scalar_point,wedge,2,point,hessians,2500,0.000364044,145.6176,142.0384,148.4348,0.0,0,0,612,1296
lagrange_wedge_order2_point_all,lagrange_scalar_point,wedge,2,point,all,2500,0.000431773,172.7092,167.5144,174.6084,0.0,0,0,828,1872
lagrange_wedge_order2_strided_values,lagrange_strided_batch,wedge,2,strided,values,500,0.000143048,286.096,286.062,286.486,0.0,0,0,396,720
lagrange_wedge_order2_strided_gradients,lagrange_strided_batch,wedge,2,strided,gradients,500,0.0002106,421.2,412.566,425.858,0.0,0,0,972,2160
lagrange_wedge_order2_strided_hessians,lagrange_strided_batch,wedge,2,strided,hessians,500,0.000448544,897.088,890.08,979.912,0.0,0,0,2448,6480
lagrange_wedge_order2_strided_all,lagrange_strided_batch,wedge,2,strided,all,500,0.000447562,895.124,890.612,909.49,0.0,0,0,3312,9360
lagrange_wedge_order3_construction,lagrange_construction,wedge,3,construction,construction,20,7.848e-05,3924.0,3898.9,4049.3,22.0,0,0,0,0
lagrange_wedge_order3_point_values,lagrange_scalar_point,wedge,3,point,values,1000,0.000116704,116.704,109.366,132.264,0.0,0,0,200,320
lagrange_wedge_order3_point_gradients,lagrange_scalar_point,wedge,3,point,gradients,1000,0.000138501,138.501,138.458,138.572,0.0,0,0,504,960
lagrange_wedge_order3_point_hessians,lagrange_scalar_point,wedge,3,point,hessians,1000,0.000296488,296.488,284.932,308.19,0.0,0,0,1304,2880
lagrange_wedge_order3_point_all,lagrange_scalar_point,wedge,3,point,all,1000,0.000311289,311.289,303.868,325.388,0.0,0,0,1784,4160
lagrange_wedge_order3_strided_values,lagrange_strided_batch,wedge,3,strided,values,200,8.1814e-05,409.07,408.705,409.5,0.0,0,0,800,1600
lagrange_wedge_order3_strided_gradients,lagrange_strided_batch,wedge,3,strided,gradients,200,0.000134057,670.285,669.33,670.32,0.0,0,0,2016,4800
lagrange_wedge_order3_strided_hessians,lagrange_strided_batch,wedge,3,strided,hessians,200,0.000347461,1737.305,1714.41,1774.54,0.0,0,0,5216,14400
lagrange_wedge_order3_strided_all,lagrange_strided_batch,wedge,3,strided,all,200,0.000340933,1704.665,1702.745,1793.235,0.0,0,0,7136,20800
lagrange_wedge_order4_construction,lagrange_construction,wedge,4,construction,construction,20,0.000125745,6287.25,5979.75,6606.6,28.0,0,0,0,0
lagrange_wedge_order4_point_values,lagrange_scalar_point,wedge,4,point,values,555,8.6993e-05,156.744144144,156.702702703,156.778378378,0.0,0,0,350,600
lagrange_wedge_order4_point_gradients,lagrange_scalar_point,wedge,4,point,gradients,555,0.000125069,225.34954955,210.486486486,240.983783784,0.0,0,0,900,1800
lagrange_wedge_order4_point_hessians,lagrange_scalar_point,wedge,4,point,hessians,555,0.000230898,416.032432432,415.154954955,461.983783784,0.0,0,0,2375,5400
lagrange_wedge_order4_point_all,lagrange_scalar_point,wedge,4,point,all,555,0.000285573,514.545945946,513.83963964,522.794594595,0.0,0,0,3275,7800
lagrange_wedge_order4_strided_values,lagrange_strided_batch,wedge,4,strided,values,111,6.3892e-05,575.603603604,575.567567568,575.630630631,0.0,0,0,1400,3000
lagrange_wedge_order4_strided_gradients,lagrange_strided_batch,wedge,4,strided,gradients,111,0.000120323,1083.99099099,1083.07207207,1084.18018018,0.0,0,0,3600,9000
lagrange_wedge_order4_strided_hessians,lagrange_strided_batch,wedge,4,strided,hessians,111,0.000332221,2992.98198198,2945.12612613,3045.35135135,0.0,0,0,9500,27000
lagrange_wedge_order4_strided_all,lagrange_strided_batch,wedge,4,strided,all,111,0.000457082,4117.85585586,4034.6036036,4132.67567568,0.0,0,0,13100,39000
lagrange_wedge_order5_construction,lagrange_construction,wedge,5,construction,construction,20,0.000208888,10444.4,10039.25,10613.7,65.0,0,0,0,0
lagrange_wedge_order5_point_values,lagrange_scalar_point,wedge,5,point,values,333,0.000101925,306.081081081,305.324324324,322.714714715,0.0,0,0,558,1008
lagrange_wedge_order5_point_gradients,lagrange_scalar_point,wedge,5,point,gradients,333,0.000142986,429.387387387,428.858858859,429.588588589,0.0,0,0,1458,3024
lagrange_wedge_order5_point_hessians,lagrange_scalar_point,wedge,5,point,hessians,333,0.00025815,775.225225225,773.084084084,790.744744745,0.0,0,0,3906,9072
lagrange_wedge_order5_point_all,lagrange_scalar_point,wedge,5,point,all,333,0.000313991,942.915915916,927.456456456,986.111111111,0.0,0,0,5418,13104
lagrange_wedge_order5_strided_values,lagrange_strided_batch,wedge,5,strided,values,66,7.4874e-05,1134.45454545,1130.87878788,1367.98484848,0.0,0,0,2232,5040
lagrange_wedge_order5_strided_gradients,lagrange_strided_batch,wedge,5,strided,gradients,66,0.000134909,2044.07575758,2043.66666667,2052.90909091,0.0,0,0,5832,15120
lagrange_wedge_order5_strided_hessians,lagrange_strided_batch,wedge,5,strided,hessians,66,0.000350462,5310.03030303,5289.84848485,5355.01515152,0.0,0,0,15624,45360
lagrange_wedge_order5_strided_all,lagrange_strided_batch,wedge,5,strided,all,66,0.000551047,8349.1969697,7157.5,8898.25757576,0.0,0,0,21672,65520
lagrange_wedge_order6_construction,lagrange_construction,wedge,6,construction,construction,20,0.000298151,14907.55,14707.1,16196.5,84.0,0,0,0,0
lagrange_wedge_order6_point_values,lagrange_scalar_point,wedge,6,point,values,208,8.522e-05,409.711538462,407.783653846,464.836538462,0.0,0,0,833,1568
lagrange_wedge_order6_point_gradients,lagrange_scalar_point,wedge,6,point,gradients,208,0.000122941,591.0625,587.807692308,605.884615385,0.0,0,0,2205,4704
lagrange_wedge_order6_point_hessians,lagrange_scalar_point,wedge,6,point,hessians,208,0.000231443,1112.70673077,1112.07211538,1124.88942308,0.0,0,0,5978,14112
lagrange_wedge_order6_point_all,lagrange_scalar_point,wedge,6,point,all,208,0.000297654,1431.02884615,1386.25961538,1510.01442308,0.0,0,0,8330,20384
lagrange_wedge_order6_strided_values,lagrange_strided_batch,wedge,6,strided,values,41,6.1706e-05,1505.02439024,1502.46341463,1506.26829268,0.0,0,0,3332,7840
lagrange_wedge_order6_strided_gradients,lagrange_strided_batch,wedge,6,strided,gradients,41,0.000118794,2897.41463415,2894.80487805,2902.14634146,0.0,0,0,8820,23520
lagrange_wedge_order6_strided_hessians,lagrange_strided_batch,wedge,6,strided,hessians,41,0.000329276,8031.12195122,8025.85365854,8116.63414634,0.0,0,0,23912,70560
lagrange_wedge_order6_strided_all,lagrange_strided_batch,wedge,6,strided,all,41,0.000450826,10995.7560976,10881.1707317,11013.0487805,0.0,0,0,33320,101920
lagrange_wedge_order7_construction,lagrange_construction,wedge,7,construction,construction,20,0.000455305,22765.25,22728.6,23228.4,106.0,0,0,0,0
lagrange_wedge_order7_point_values,lagrange_scalar_point,wedge,7,point,values,138,6.466e-05,468.550724638,468.384057971,485.927536232,0.0,0,0,1184,2304
lagrange_wedge_order7_point_gradients,lagrange_scalar_point,wedge,7,point,gradients,138,9.8535e-05,714.02173913,713.630434783,716.231884058,0.0,0,0,3168,6912
lagrange_wedge_order7_point_hessians,lagrange_scalar_point,wedge,7,point,hessians,138,0.000200476,1452.72463768,1452.14492754,1472.20289855,0.0,0,0,8672,20736
lagrange_wedge_order7_point_all,lagrange_scalar_point,wedge,7,point,all,138,0.000269959,1956.22463768,1929.50724638,2036.63768116,0.0,0,0,12128,29952
lagrange_wedge_order7_strided_values,lagrange_strided_batch,wedge,7,strided,values,27,4.8559e-05,1798.48148148,1795.59259259,1801.40740741,0.0,0,0,4736,11520
lagrange_wedge_order7_strided_gradients,lagrange_strided_batch,wedge,7,strided,gradients,27,0.000109397,4051.74074074,4047.85185185,4064.33333333,0.0,0,0,12672,34560
