node,x,y,z,lumped_control_volume,previous_indicator,low_order_indicator,raw_target_indicator,limited_indicator,physical_boundary_transfer,discrete_divergence_source,low_order_interior_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,limited_balance_residual,courant,component_id
45,0.703125,0,0,0.00012207031249999995,0,-5.2700542414585089e-42,-2.7646434980545577e-42,-2.7646434980545577e-42,-0,0,-6.4331716814679033e-46,3.0583627238817752e-46,3.0583627238817752e-46,-3.8893845486632136e-62,0.24615384615384622,-1
46,0.71875,0,0,0.00012207031249999995,0,-1.0338984186474159e-39,-5.6930250476112523e-40,-5.6930250476112523e-40,-0,0,-1.2620830305754582e-43,5.6713368394322556e-44,5.6713368394322556e-44,0,0.24615384615384622,-1
47,0.734375,0,0,0.00012207031249999995,1.2637596789225422e-42,1.2119131279923867e-42,-3.151838241962408e-42,1.0369310186031115e-43,-7.3778437890090979e-63,1.3174721051801961e-63,-6.3289246740912351e-48,-5.3268449340268468e-46,-1.3528076490870057e-46,0,0.24615384615384622,-1
48,0.75,0,0,0.00012207031249999995,2.1062661315375812e-42,1.062943914970706e-40,5.440771501802471e-41,5.4357339291234418e-41,-1.2296406315015226e-62,2.1957868419670047e-63,1.2718277022159788e-44,-6.3338228123835293e-45,-6.3399721930952348e-45,0,0.24615384615384622,-1
49,0.765625,0,0,0.00012207031249999995,0,9.0904285964206623e-42,4.5452142982103312e-42,4.5452142982103312e-42,-0,0,1.1096714595240062e-45,-5.5483572976200308e-46,-5.5483572976200308e-46,0,0.24615384615384622,-1
50,0.78125,0,0,0.00012207031249999995,0,1.0369310186031163e-43,5.1846550930155816e-44,5.1846550930155816e-44,-0,0,1.2657849348182567e-47,-6.3289246740912837e-48,-6.3289246740912837e-48,0,0.24615384615384622,-1
51,0.796875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
52,0.8125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
53,0.828125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
54,0.84375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
55,0.859375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
56,0.875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
57,0.890625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
58,0.90625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
59,0.921875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
60,0.9375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
61,0.953125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
62,0.96875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
63,0.984375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
64,1,0,0,6.1035156249999973e-05,0,0,0,0,-0,0,0,0,0,0,0.49230769230769239,-1
65,0,0.015625,0,0.00012207031249999995,0,0,0,0,0,0,0,0,0,0,0.16410256410256413,-1
66,0.015625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
67,0.03125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
68,0.046875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
69,0.0625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
70,0.078125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
71,0.09375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
72,0.109375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
73,0.125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
74,0.140625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
75,0.15625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
76,0.171875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
77,0.1875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
78,0.203125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
79,0.21875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
80,0.234375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
81,0.25,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
82,0.265625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
83,0.28125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
84,0.296875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
85,0.3125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
86,0.328125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
87,0.34375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
88,0.359375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
89,0.375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
90,0.390625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
91,0.40625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
