classification,component_id,nodes,previous_measure,low_order_measure,raw_target_measure,limited_measure,physical_boundary_transfer,discrete_divergence_source,low_order_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,low_order_balance_residual,raw_target_balance_residual,limited_balance_residual
resolved,1201,616,0.048828124984466585,0.048828124953381909,0.048828124975231771,0.048828124968419276,1.6680033417547603e-19,1.0425020885967268e-18,-3.1084658590411961e-11,2.1849831443284669e-11,1.5037332133216428e-11,-1.9118372568078795e-17,1.1635674529369841e-17,1.5933189115836476e-17
subthreshold,-1,1673,1.553337976261173e-11,4.6618038373351066e-11,2.4768206975797439e-11,3.158070624064939e-11,5.3063125731378316e-29,3.3164453582111556e-28,3.1084658610739265e-11,-2.1849831397553611e-11,-1.503733213270166e-11,7.1085833891275816e-26,5.4929962552349494e-26,5.4929962552349494e-26
