step,time,previous_measure,low_order_measure,raw_target_measure,limited_measure,cumulative_boundary_transfer,cumulative_discrete_divergence_source,accounted_measure,raw_measure_error,accounted_balance_error,minimum_indicator,maximum_indicator,maximum_courant,maximum_local_balance_residual,maximum_component_balance_residual,components
1,0.019230769230769232,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,1.6680033422853915e-19,1.0425020889283698e-18,0.048828124999999979,0,0,0,1,0.49230769230769245,2.0328790734103208e-20,2.2023443036036835e-17,1
2,0.038461538461538464,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,3.3360066845707831e-19,2.0850041778567396e-18,0.048828124999999979,0,0,0,1,0.49230769230769245,2.5622746654442585e-20,5.6234741343271145e-18,1
3,0.057692307692307696,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,5.0040100268561748e-19,3.1275062667851094e-18,0.048828124999999986,0,-6.9388939039072284e-18,-6.9388939039072284e-18,1,0.49230769230769245,4.5739779151732218e-20,2.2033105746362373e-17,1
4,0.076923076923076927,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,6.6720133691415661e-19,4.1700083557134792e-18,0.048828124999999986,0,-6.9388939039072284e-18,-6.9389005213521288e-18,1,0.49230769230769245,3.3881317890172014e-20,2.8955335037004561e-17,1
5,0.096153846153846159,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,8.3400167114269574e-19,5.2125104446418486e-18,0.048828124999999986,0,-6.9388939039072284e-18,-1.3877787807814457e-17,1,0.49230769230769245,3.0493186101154812e-20,3.5069979792245592e-17,1
6,0.11538461538461539,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,1.000802005371235e-18,6.2550125335702188e-18,0.048828124999999986,0,-6.9388939039072284e-18,-1.3877787807814457e-17,1,0.49230769230769245,4.0657581468206416e-20,3.810774835203856e-17,1
7,0.13461538461538464,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,1.1676023395997741e-18,7.297514622498589e-18,0.048828124999999986,0,-6.9388939039072284e-18,-1.3877787807814457e-17,1,0.49230769230769245,4.0657581468206416e-20,6.15709722903864e-17,1
8,0.15384615384615385,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,1.3344026738283132e-18,8.3400167114269584e-18,0.048828124999999986,0,-6.9388939039072284e-18,-2.0816681711721685e-17,1,0.49230769230769245,4.7433845046240819e-20,1.2300552696308472e-16,1
9,0.17307692307692307,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,1.5012030080568524e-18,9.3825188003553278e-18,0.048828124999999993,0,-1.3877787807814457e-17,-2.7755575615628914e-17,1,0.49230769230769245,3.3881317890172014e-20,8.9869252042467534e-17,1
10,0.19230769230769232,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,1.6680033422853915e-18,1.0425020889283697e-17,0.048828124999999993,0,-1.3877787807814457e-17,-3.4694469519536142e-17,1,0.49230769230769245,3.7269449679189215e-20,9.7285675919749928e-17,1
